region	chr	midPos	Nsites
(62,561)(100,599)(100,600)	Pt	350	501	0.485593
(162,661)(200,699)(200,700)	Pt	450	501	0.490106
(262,761)(300,799)(300,800)	Pt	550	501	0.457517
(362,861)(400,899)(400,900)	Pt	650	501	0.436653
(462,961)(500,999)(500,1000)	Pt	750	501	0.448380
(562,1061)(600,1099)(600,1100)	Pt	850	501	0.488389
(662,1161)(700,1199)(700,1200)	Pt	950	501	0.497141
(762,1261)(800,1299)(800,1300)	Pt	1050	501	0.490027
(862,1361)(900,1399)(900,1400)	Pt	1150	501	0.493764
(962,1461)(1000,1499)(1000,1500)	Pt	1250	501	0.462604
(1062,1561)(1100,1599)(1100,1600)	Pt	1350	501	0.441583
(1162,1661)(1200,1699)(1200,1700)	Pt	1450	501	0.413687
(1262,1761)(1300,1799)(1300,1800)	Pt	1550	501	0.442707
(1362,1861)(1400,1899)(1400,1900)	Pt	1650	501	0.444339
(1462,1961)(1500,1999)(1500,2000)	Pt	1750	501	0.497285
(1562,2061)(1600,2099)(1600,2100)	Pt	1850	501	0.501916
(1662,2161)(1700,2199)(1700,2200)	Pt	1950	501	0.534067
(1762,2261)(1800,2299)(1800,2300)	Pt	2050	501	0.564805
(1862,2361)(1900,2399)(1900,2400)	Pt	2150	501	0.545033
(1962,2461)(2000,2499)(2000,2500)	Pt	2250	501	0.506257
(2062,2561)(2100,2599)(2100,2600)	Pt	2350	501	0.476791
(2162,2661)(2200,2699)(2200,2700)	Pt	2450	501	0.451757
(2262,2761)(2300,2799)(2300,2800)	Pt	2550	501	0.436603
(2362,2861)(2400,2899)(2400,2900)	Pt	2650	501	0.466837
(2462,2961)(2500,2999)(2500,3000)	Pt	2750	501	0.518477
(2562,3061)(2600,3099)(2600,3100)	Pt	2850	501	0.525211
(2662,3161)(2700,3199)(2700,3200)	Pt	2950	501	0.544297
(2762,3261)(2800,3299)(2800,3300)	Pt	3050	501	0.532615
(2862,3361)(2900,3399)(2900,3400)	Pt	3150	501	0.488793
